Graph 1
0, 1, 2
0, 4, 8
0, 4, 10
0, 5, 6
0, 5, 8
0, 5, 9
0, 6, 7
0, 7, 8
0, 9, 10
1, 2, 12
1, 2, 15
1, 3, 14
1, 3, 16
1, 4, 13
1, 4, 16
1, 11, 13
1, 11, 15
1, 11, 16
1, 12, 13
1, 12, 14
1, 14, 15
2, 6, 12
2, 6, 25
2, 10, 15
2, 10, 22
2, 12, 24
2, 15, 19
2, 19, 22
2, 19, 25
2, 22, 24
2, 24, 25
3, 7, 14
3, 7, 17
3, 9, 14
3, 9, 24
3, 16, 23
3, 16, 25
3, 17, 23
3, 17, 25
3, 23, 24
3, 24, 25
4, 8, 13
4, 8, 18
4, 10, 20
4, 10, 21
4, 13, 20
4, 16, 21
4, 16, 25
4, 18, 21
4, 18, 25
4, 20, 25
5, 6, 11
5, 6, 12
5, 8, 19
5, 8, 23
5, 9, 11
5, 9, 20
5, 11, 16
5, 12, 20
5, 12, 23
5, 16, 19
5, 16, 23
5, 19, 20
6, 7, 17
6, 7, 21
6, 11, 17
6, 11, 18
6, 12, 21
6, 17, 25
6, 18, 21
6, 18, 25
7, 8, 13
7, 8, 19
7, 13, 17
7, 13, 22
7, 14, 19
7, 14, 21
7, 19, 22
7, 21, 22
8, 13, 24
8, 15, 18
8, 15, 19
8, 15, 23
8, 18, 24
8, 23, 24
9, 10, 20
9, 10, 22
9, 11, 18
9, 11, 22
9, 14, 18
9, 14, 20
9, 18, 24
9, 22, 24
10, 15, 17
10, 15, 23
10, 17, 20
10, 17, 23
10, 21, 22
10, 21, 23
11, 13, 17
11, 13, 22
11, 15, 17
11, 15, 18
11, 16, 22
12, 13, 20
12, 13, 24
12, 14, 20
12, 14, 21
12, 21, 23
12, 23, 24
13, 17, 20
13, 22, 24
14, 15, 18
14, 15, 19
14, 18, 21
14, 19, 20
15, 17, 23
16, 19, 22
16, 19, 25
16, 21, 22
16, 21, 23
17, 20, 25
18, 24, 25
19, 20, 25
Graph 5
0, 1, 2
0, 1, 3
0, 1, 4
0, 2, 7
0, 2, 8
0, 3, 4
0, 3, 9
0, 4, 10
0, 5, 7
0, 5, 9
0, 5, 10
0, 6, 8
0, 6, 9
0, 6, 10
0, 7, 8
1, 2, 13
1, 2, 14
1, 3, 4
1, 3, 16
1, 4, 15
1, 11, 14
1, 11, 15
1, 11, 16
1, 12, 13
1, 12, 15
1, 12, 16
1, 13, 14
2, 7, 8
2, 7, 22
2, 8, 21
2, 13, 14
2, 13, 24
2, 14, 23
2, 21, 23
2, 21, 24
2, 22, 23
2, 22, 24
3, 4, 25
3, 9, 17
3, 9, 21
3, 16, 20
